"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2021","29.36","28.80","29.84","28.50","2.00M","-1.94%"
"Feb 25, 2021","29.94","31.00","31.50","28.94","2.26M","-1.25%"
"Feb 24, 2021","30.32","32.00","32.50","30.26","2.61M","-5.31%"
"Feb 23, 2021","32.02","34.60","34.88","32.00","3.37M","-7.19%"
"Feb 22, 2021","34.50","34.32","35.64","34.02","6.36M","1.00%"
"Feb 19, 2021","34.16","35.30","35.38","33.94","3.21M","-3.23%"
"Feb 18, 2021","35.30","33.50","36.20","33.42","8.89M","5.94%"
"Feb 17, 2021","33.32","34.70","34.90","33.26","3.30M","-3.08%"
"Feb 16, 2021","34.38","35.30","35.60","33.58","6.29M","-2.33%"
"Feb 15, 2021","35.20","33.16","35.80","33.16","7.30M","6.73%"
"Feb 12, 2021","32.98","32.22","33.38","31.50","4.64M","2.23%"
"Feb 11, 2021","32.26","33.24","33.62","32.22","2.68M","-2.95%"
"Feb 10, 2021","33.24","31.82","33.82","31.82","6.02M","4.46%"
"Feb 09, 2021","31.82","32.36","32.70","31.80","2.20M","-1.30%"
"Feb 08, 2021","32.24","32.50","32.62","31.92","3.63M","0.94%"
"Feb 05, 2021","31.94","31.90","32.80","31.78","2.53M","0.38%"
"Feb 04, 2021","31.82","32.50","33.28","31.66","2.33M","-1.43%"
"Feb 03, 2021","32.28","33.80","34.12","31.74","4.88M","-0.55%"
"Feb 02, 2021","32.46","29.80","32.46","29.80","5.00M","9.96%"
"Feb 01, 2021","29.52","29.80","30.12","29.22","2.98M","0.07%"
"Jan 29, 2021","29.50","29.00","30.50","28.86","2.88M","-1.67%"
"Jan 28, 2021","30.00","28.84","30.38","27.94","5.31M","2.04%"
"Jan 27, 2021","29.40","32.40","32.66","29.40","3.48M","-9.32%"
"Jan 26, 2021","32.42","33.46","33.66","32.18","3.21M","-3.22%"
"Jan 25, 2021","33.50","33.10","34.00","33.04","4.66M","2.57%"
"Jan 22, 2021","32.66","32.20","33.30","32.00","4.01M","1.24%"
"Jan 21, 2021","32.26","31.70","34.32","31.54","8.86M","2.54%"
"Jan 20, 2021","31.46","32.18","32.58","30.92","6.60M","-1.19%"
"Jan 19, 2021","31.84","29.26","31.84","29.26","9.36M","9.94%"
"Jan 18, 2021","28.96","28.10","29.00","28.00","3.11M","3.43%"
"Jan 15, 2021","28.00","27.66","29.36","27.22","5.48M","0.57%"
"Jan 14, 2021","27.84","28.78","29.00","27.64","2.57M","-2.66%"
"Jan 13, 2021","28.60","28.70","29.92","28.46","3.24M","0.14%"
"Jan 12, 2021","28.56","29.06","29.44","28.40","2.89M","-0.70%"
"Jan 11, 2021","28.76","30.00","31.48","28.50","8.57M","-2.51%"
"Jan 08, 2021","29.50","29.50","29.50","29.50","1.48M","9.99%"
"Jan 07, 2021","26.82","27.20","27.40","26.62","2.71M","-0.81%"
"Jan 06, 2021","27.04","27.20","27.68","26.96","3.83M","0.30%"
"Jan 05, 2021","26.96","27.48","28.00","26.50","4.42M","-2.11%"
"Jan 04, 2021","27.54","28.30","28.56","27.48","4.41M","-1.92%"
"Dec 31, 2020","28.08","27.76","29.06","27.28","10.07M","0.93%"
"Dec 30, 2020","27.82","26.72","28.20","25.76","7.82M","4.74%"
"Dec 29, 2020","26.56","25.20","27.04","25.16","9.22M","5.82%"
"Dec 28, 2020","25.10","24.94","26.12","24.08","8.69M","1.87%"
"Dec 25, 2020","24.64","26.10","27.50","24.12","10.90M","-3.22%"
"Dec 24, 2020","25.46","23.28","25.46","23.08","7.22M","9.93%"
"Dec 23, 2020","23.16","23.14","23.44","22.78","4.15M","1.76%"
"Dec 22, 2020","22.76","22.50","23.44","22.46","8.09M","2.52%"
"Dec 21, 2020","22.20","21.34","23.30","20.96","15.01M","3.74%"
"Dec 18, 2020","21.40","20.68","21.74","20.66","5.04M","3.78%"
"Dec 17, 2020","20.62","20.48","20.90","20.48","1.76M","1.28%"
"Dec 16, 2020","20.36","20.70","21.02","20.20","2.02M","-1.17%"
"Dec 15, 2020","20.60","20.88","21.42","20.58","3.27M","-0.10%"
"Dec 14, 2020","20.62","20.46","20.82","20.38","2.80M","1.78%"
"Dec 11, 2020","20.26","20.04","20.66","19.86","2.85M","1.10%"
"Dec 10, 2020","20.04","20.26","20.50","19.99","1.40M","-0.99%"
"Dec 09, 2020","20.24","20.32","20.74","20.18","3.33M","0.60%"
"Dec 08, 2020","20.12","20.56","21.00","20.10","2.28M","-2.14%"
"Dec 07, 2020","20.56","20.90","21.30","20.54","3.31M","-1.72%"
"Dec 04, 2020","20.92","21.18","21.72","20.80","4.65M","0.10%"
"Dec 03, 2020","20.90","21.74","21.74","20.90","4.24M","-3.86%"
"Dec 02, 2020","21.74","20.04","22.10","19.94","11.25M","8.16%"
"Dec 01, 2020","20.10","19.44","20.10","19.44","2.18M","4.25%"
"Nov 30, 2020","19.28","19.70","20.14","19.19","1.44M","-2.13%"
"Nov 27, 2020","19.70","20.10","20.16","19.64","1.32M","-1.50%"
"Nov 26, 2020","20.00","19.81","20.50","19.71","3.44M","1.27%"
"Nov 25, 2020","19.75","20.22","20.40","19.71","1.95M","-1.55%"
"Nov 24, 2020","20.06","20.24","20.56","20.02","1.69M","-0.50%"
"Nov 23, 2020","20.16","20.44","20.70","19.98","1.90M","-1.18%"
"Nov 20, 2020","20.40","20.20","20.78","20.14","2.38M","1.49%"
"Nov 19, 2020","20.10","19.91","20.36","19.73","3.17M","1.01%"
"Nov 18, 2020","19.90","19.18","20.52","19.18","4.33M","3.75%"
"Nov 17, 2020","19.18","20.18","20.36","19.18","1.60M","-4.96%"
"Nov 16, 2020","20.18","20.32","20.60","20.16","1.45M","0.50%"
"Nov 13, 2020","20.08","20.00","20.72","19.90","1.97M","0.40%"
"Nov 12, 2020","20.00","20.72","21.00","20.00","1.91M","-3.01%"
"Nov 11, 2020","20.62","21.30","21.74","20.24","2.59M","-2.92%"
"Nov 10, 2020","21.24","21.38","21.68","21.12","1.65M","-0.56%"
"Nov 09, 2020","21.36","21.88","22.20","21.30","2.64M","-1.20%"
"Nov 06, 2020","21.62","22.30","22.50","21.62","4.33M","-5.34%"
"Nov 05, 2020","22.84","21.26","22.98","21.26","4.79M","7.74%"
"Nov 04, 2020","21.20","20.64","21.56","20.64","3.04M","3.11%"
"Nov 03, 2020","20.56","20.68","21.30","20.10","3.01M","-0.29%"
"Nov 02, 2020","20.62","20.26","20.98","20.14","2.34M","3.00%"
"Oct 30, 2020","20.02","20.38","21.26","19.93","4.48M","-3.19%"
"Oct 28, 2020","20.68","20.86","21.76","20.68","1.99M","-1.90%"
"Oct 27, 2020","21.08","19.99","21.58","19.59","3.35M","2.73%"
"Oct 26, 2020","20.52","22.54","23.20","20.52","5.53M","-9.52%"
"Oct 23, 2020","22.68","22.20","23.56","22.16","9.16M","2.44%"
"Oct 22, 2020","22.14","22.16","22.92","21.96","3.68M","0.36%"
"Oct 21, 2020","22.06","22.76","23.16","22.00","3.02M","-2.30%"
"Oct 20, 2020","22.58","21.58","22.82","21.48","4.92M","4.63%"
"Oct 19, 2020","21.58","22.26","22.44","21.52","2.56M","-1.82%"
"Oct 16, 2020","21.98","21.00","22.52","20.94","6.92M","5.17%"
"Oct 15, 2020","20.90","21.36","21.76","20.68","1.89M","-1.88%"
"Oct 14, 2020","21.30","21.98","21.98","21.22","1.86M","-2.20%"
"Oct 13, 2020","21.78","21.54","22.06","21.26","2.63M","1.30%"
"Oct 12, 2020","21.50","21.08","22.20","21.02","3.77M","2.58%"
"Oct 09, 2020","20.96","21.52","22.00","20.90","3.13M","-2.87%"
"Oct 08, 2020","21.58","22.90","23.20","21.58","4.45M","-4.93%"
"Oct 07, 2020","22.70","22.26","23.38","22.06","5.69M","1.98%"
"Oct 06, 2020","22.26","21.00","22.44","20.48","7.59M","6.71%"
"Oct 05, 2020","20.86","20.82","21.38","20.66","4.24M","1.76%"
"Oct 02, 2020","20.50","19.70","21.20","19.35","8.12M","3.43%"
"Oct 01, 2020","19.82","19.45","21.34","18.79","12.54M","2.16%"
